-2147406520	AboutHeaderAbout
-2146771340	serv27
-2146513326	Serv21
-2146466885	linkmenu1
-2145534150	UserDuckingPreference
-2144792537	О программе
-2143984312	Recycle Item
-2143758250	Language Hotkey
-2142794310	Control Panel\\Mouse
-2142654958	Systemsicherung
-2141490249	Diese Optimierung wird die automatische Ausführung von Wechseldatenträgern (Flashlaufwerken, Wechseldatenträgern und anderen Geräten) deaktiviert, die Windows-Explorer sofort zu öffnen versucht, wenn eine Verbindung mit der möglicherweise gefährlichen Datei «autorun.inf» hergestellt wird. Diese Optimierung erlaubt nicht, dass Viren ins System hineinkriechen und ihre Skripts ausführen.
-2141350628	HKLM
-2141329603	\\luafv
-2140110583	Перед посещением категории Службы настоятельно рекомендуется посмотреть поясняющее видео.\r\n\r\nБудем смотреть?
-2139742912	Check75
-2139655734	CortanaConsent
-2139442393	UmRdpService
-2139306530	RestoreInterface7
-2138524731	служба-управления-корпоративными-entappsvc
-2138024570	\\Windows Defender
-2135907723	Directory\\shell\\runas
-2135646948	NoDriversFound
-2135499987	смарт-карта
-2134963549	" && mklink /h "
-2134617343	sShortDate_bak
-2133638521	\\Default\\Service Worker
-2132992239	SOFTWARE\\Classes\\WMP11.AssocFile.MPEG\\shell\\Enqueue
-2132506494	exefile\\shell\\Firewall_Allow
-2132473835	Shift1
-2132431465	StatusFont
-2132204917	Deaktivieren der Sammlung von Daten über die installierten Anwendungen
-2131699507	Добавить в библиотеку
-2131473007	NcaSvc
-2130944704	explorer shell:AppsFolder\\Windows.ImmersiveControlPanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel
-2130565038	Shutdown
-2130202068	\\Explorer\\MyComputer\\NameSpace\\
-2129822105	Стати власником і отримати повний доступ
-2129612081	Эта кнопка восстановит оригинальный размер папки WinSxS
-2128182208	Автоматично оновлювати антишпигунські правила кожні
-2127951211	C:\\Windows\\System32\\config\\systemprofile\\AppData\\Local
-2127296069	0.
-2127186621	узел-системы-диагностики
-2127123460	диспетчер-платежей-и-nfc
-2127083522	RestoreSystem10
-2126978397	Sketch
-2126957372	StartupService
-2125951936	Version:
-2123600972	служба-компоновщика-объемного-звука
-2123261150	Provider Name : 
-2123225447	Check76
-2121651867	Почати очищення
-2121647954	SysInfo6
-2121639595	energy-report-latest
-2121400867	XboxGameCallableUI
-2120662609	ContextMenu17
-2119256625	0 GB
-2118309149	\\Microsoft\\Internet Explorer
-2117851387	Value
-2116849900	TrkWks
-2116631832	DriverDesc
-2116466995	You have the latest version
-2116402267	Dieser Tweak deaktiviert den Dienst für bedeutungslose Themen. Wenn Sie das Thema bereits angepasst haben und mit den Sounds und Cursorn zufrieden sind, dann brauchen Sie den Service nicht mehr. Das Hintergrundbild kann jederzeit geändert werden.
-2116386085	SOFTWARE\\WOW6432Node\\Microsoft\\Windows\\CurrentVersion\\Run
-2116289597	Файл, що сканується:
-2115742784	@M3;VTXT<Wt?ona6zZO=5)wq$
-2115240988	Control Panel\\Keyboard
-2114803538	SettingsItemlabel10
-2114367226	Services ready to be disabled:
-2114240160	\\shell
-2113544738	AgreeButton
-2113399766	SafeModeNetwork
-2112931562	ServBonus2
-2112871688	Layout Hotkey
-2112612003	Видалить всі діагностичні звіти всіх діагностик Windows.
-2111864401	%SystemRoot%_system32_cmd.exe
-2111674699	SaveZoneInformation
-2111312719	Очистить память
-2111296537	Skype
-2109976994	Check63
-2107917072	Не удалось активировать Pro-версию.\r\n\r\nВозможно, на этапе покупки, вы не подтвердили платёж или закрыли страницу раньше времени.\r\n\r\nНажмите Да, чтобы завершить оплату.\r\nНажмите Нет, чтобы восстановить уже купленную активацию.
